,,,,
"Census Counts, 2010",,,,
,,,,
Borough,Sex,Race/Ethnicity,Age Group,Population
Brooklyn,Female,"Asian/Pacific Islander, non-Hispanic",45-49 yr,"10,437"
Brooklyn,Female,"Asian/Pacific Islander, non-Hispanic",50-54 yr,"9,447"
Brooklyn,Female,"Asian/Pacific Islander, non-Hispanic",55-59 yr,"7,844"
Brooklyn,Female,"Asian/Pacific Islander, non-Hispanic",60-64 yr,"5,940"
Brooklyn,Female,"Asian/Pacific Islander, non-Hispanic",65-69 yr,"3,556"
Brooklyn,Female,"Asian/Pacific Islander, non-Hispanic",70-74 yr,"3,014"
Brooklyn,Female,"Asian/Pacific Islander, non-Hispanic",75-79 yr,"2,347"
Brooklyn,Female,"Asian/Pacific Islander, non-Hispanic",80-84 yr,"1,499"
Brooklyn,Female,"Asian/Pacific Islander, non-Hispanic",85+ yr,"1,207"
Brooklyn,Female,"Other races, non-Hispanic",Less than 1,665
Brooklyn,Female,"Other races, non-Hispanic",1-4 yr,"2,193"
Brooklyn,Female,"Other races, non-Hispanic",5-9 yr,"2,222"
